latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-14.63164,143.09702,342.6,0.47,0.4,2020-01-05,0348,N,nominal,1.0NRT,296.1,5.5,D
-14.62613,143.08279,330.3,0.47,0.4,2020-01-05,0348,N,low,1.0NRT,293,5.6,D
-14.58882,143.05508,332.9,0.47,0.4,2020-01-05,0348,N,low,1.0NRT,297.7,6.6,D
-14.54876,143.08194,348.4,0.47,0.4,2020-01-05,0348,N,nominal,1.0NRT,295.7,9.9,D
-14.5451,143.08148,337.4,0.47,0.4,2020-01-05,0348,N,low,1.0NRT,297.3,7.4,D
-15.72073,132.22002,335.9,0.79,0.78,2020-01-05,0348,N,nominal,1.0NRT,287.8,9.5,D
-15.13896,135.23897,331,0.49,0.65,2020-01-05,0348,N,nominal,1.0NRT,292,3.1,D
-15.13285,135.23831,337.3,0.49,0.65,2020-01-05,0348,N,nominal,1.0NRT,291.4,3.1,D
-15.12111,135.23227,337.2,0.49,0.65,2020-01-05,0348,N,nominal,1.0NRT,292.2,6.4,D
-15.10277,135.23027,340.5,0.49,0.65,2020-01-05,0348,N,nominal,1.0NRT,291.4,4.6,D
-15.09715,135.22476,331.2,0.49,0.65,2020-01-05,0348,N,nominal,1.0NRT,292.4,4.6,D
-15.09152,135.21928,367,0.5,0.65,2020-01-05,0348,N,high,1.0NRT,292.8,17.8,D
-15.09104,135.22409,334,0.49,0.65,2020-01-05,0348,N,nominal,1.0NRT,291,13.3,D
-15.092,135.21454,357.3,0.5,0.65,2020-01-05,0348,N,nominal,1.0NRT,291.1,17.8,D
-15.12094,135.23343,339.8,0.49,0.65,2020-01-05,0348,N,nominal,1.0NRT,291.8,8.8,D
-15.1026,135.23151,337.1,0.49,0.65,2020-01-05,0348,N,nominal,1.0NRT,290.5,4.2,D
-15.10312,135.22676,332.2,0.49,0.65,2020-01-05,0348,N,nominal,1.0NRT,292,4.2,D
-15.09701,135.22604,335.6,0.49,0.65,2020-01-05,0348,N,nominal,1.0NRT,292.1,12.4,D
-15.09142,135.22058,367,0.49,0.65,2020-01-05,0348,N,high,1.0NRT,291.8,24,D
-15.09193,135.21584,353.5,0.49,0.65,2020-01-05,0348,N,nominal,1.0NRT,292.1,24,D
-13.93671,143.18347,337.2,0.46,0.39,2020-01-05,0348,N,low,1.0NRT,296.6,7,D
-13.93309,143.18292,345.4,0.46,0.39,2020-01-05,0348,N,nominal,1.0NRT,298.3,20.4,D
-13.93368,143.17865,337.4,0.46,0.39,2020-01-05,0348,N,nominal,1.0NRT,297,7,D
-13.92948,143.1824,356.6,0.46,0.39,2020-01-05,0348,N,low,1.0NRT,300.6,20.4,D
-13.93007,143.17813,340.7,0.46,0.39,2020-01-05,0348,N,low,1.0NRT,296.7,7,D
-13.92529,143.18613,330.6,0.46,0.39,2020-01-05,0348,N,low,1.0NRT,297,17.6,D
-13.92587,143.18188,353.6,0.46,0.39,2020-01-05,0348,N,low,1.0NRT,298.7,17.6,D
-13.9234,143.17297,367,0.46,0.39,2020-01-05,0348,N,high,1.0NRT,297.9,14,D
-13.92283,143.17717,338.2,0.46,0.39,2020-01-05,0348,N,low,1.0NRT,296.6,14,D
-13.91977,143.17255,350.3,0.46,0.39,2020-01-05,0348,N,nominal,1.0NRT,295.2,11.6,D
-13.92284,143.1736,367,0.46,0.39,2020-01-05,0348,N,high,1.0NRT,298.3,12.8,D
-13.91921,143.1732,350.2,0.46,0.39,2020-01-05,0348,N,low,1.0NRT,295.2,12.8,D
-13.91138,143.17642,343,0.46,0.39,2020-01-05,0348,N,low,1.0NRT,293.4,7.7,D
-12.89569,142.55922,343.3,0.48,0.4,2020-01-05,0348,N,nominal,1.0NRT,294.1,16.7,D
-12.89631,142.55479,341.9,0.48,0.4,2020-01-05,0348,N,nominal,1.0NRT,294.2,29.3,D
-12.89201,142.5587,338.6,0.48,0.4,2020-01-05,0348,N,low,1.0NRT,292.3,16.7,D
-12.8539,142.5351,351.4,0.48,0.4,2020-01-05,0348,N,nominal,1.0NRT,297.2,16.6,D
-12.85451,142.53065,336.8,0.48,0.4,2020-01-05,0348,N,low,1.0NRT,294.7,12.1,D
-12.85573,142.52177,347.4,0.48,0.4,2020-01-05,0348,N,low,1.0NRT,294.1,8.7,D
-12.85634,142.51733,348.6,0.48,0.4,2020-01-05,0348,N,nominal,1.0NRT,293.8,8.7,D
-12.85695,142.51286,349.4,0.48,0.4,2020-01-05,0348,N,nominal,1.0NRT,295,5.2,D
-12.85756,142.50842,334.2,0.48,0.4,2020-01-05,0348,N,low,1.0NRT,294.2,5.2,D
-12.85386,142.50789,331.3,0.48,0.4,2020-01-05,0348,N,low,1.0NRT,291.4,5.2,D
-12.84956,142.51181,355,0.48,0.4,2020-01-05,0348,N,nominal,1.0NRT,295.4,31.6,D
-12.84404,142.52461,367,0.48,0.4,2020-01-05,0348,N,high,1.0NRT,292.3,22.5,D
-12.83161,142.47746,337.8,0.48,0.4,2020-01-05,0348,N,low,1.0NRT,295.5,14.4,D
-12.83222,142.47299,338,0.48,0.4,2020-01-05,0348,N,nominal,1.0NRT,294.8,7.4,D
-12.82912,142.468,347.7,0.48,0.4,2020-01-05,0348,N,nominal,1.0NRT,293.8,7.4,D
-12.83303,142.47974,334.6,0.48,0.4,2020-01-05,0348,N,nominal,1.0NRT,294.7,7,D
-12.83367,142.47528,334.4,0.48,0.4,2020-01-05,0348,N,low,1.0NRT,295.3,4.8,D
-12.8343,142.47083,334.2,0.48,0.4,2020-01-05,0348,N,low,1.0NRT,294.3,4.8,D
-12.82933,142.4792,347.1,0.48,0.4,2020-01-05,0348,N,nominal,1.0NRT,293.3,10.5,D
-12.82753,142.4653,367,0.48,0.4,2020-01-05,0348,N,high,1.0NRT,293,15.6,D
-12.83336,142.37009,332.7,0.49,0.4,2020-01-05,0348,N,low,1.0NRT,292,6.2,D
-12.81911,142.36345,339.2,0.49,0.4,2020-01-05,0348,N,low,1.0NRT,294.1,10.3,D
-12.80731,142.36635,335.3,0.49,0.4,2020-01-05,0348,N,low,1.0NRT,291.4,6.6,D
-12.80422,142.3613,335.4,0.49,0.4,2020-01-05,0348,N,low,1.0NRT,291.2,10.1,D
-12.7974,142.35573,348.3,0.49,0.4,2020-01-05,0348,N,nominal,1.0NRT,295,12.9,D
-12.79367,142.35519,347.2,0.49,0.4,2020-01-05,0348,N,nominal,1.0NRT,293.7,12.2,D
-12.79057,142.35014,339.7,0.49,0.4,2020-01-05,0348,N,low,1.0NRT,293.9,11.1,D
-12.78685,142.34961,337.5,0.49,0.4,2020-01-05,0348,N,low,1.0NRT,292.9,5.2,D
-12.78747,142.34511,339.1,0.49,0.4,2020-01-05,0348,N,low,1.0NRT,294.6,5.2,D
-12.78374,142.34457,333.7,0.49,0.4,2020-01-05,0348,N,low,1.0NRT,294.4,5.2,D
-12.78002,142.34402,343.1,0.49,0.4,2020-01-05,0348,N,low,1.0NRT,293.9,11,D
-12.77381,142.33392,341.3,0.49,0.4,2020-01-05,0348,N,low,1.0NRT,293.8,5.4,D
-12.74921,142.48592,332.7,0.48,0.4,2020-01-05,0348,N,nominal,1.0NRT,291.4,4.9,D
-12.75349,142.45471,336.4,0.48,0.4,2020-01-05,0348,N,low,1.0NRT,294.2,7.8,D
-12.77008,142.33337,335.1,0.49,0.4,2020-01-05,0348,N,low,1.0NRT,293.3,5.4,D
-12.7707,142.32884,346.2,0.49,0.4,2020-01-05,0348,N,nominal,1.0NRT,294.6,11.3,D
-12.74552,142.48538,367,0.48,0.4,2020-01-05,0348,N,high,1.0NRT,294.3,14.4,D
-12.74491,142.48982,344.9,0.48,0.4,2020-01-05,0348,N,nominal,1.0NRT,292.8,14.4,D
-12.76759,142.32378,349.6,0.49,0.4,2020-01-05,0348,N,nominal,1.0NRT,295,12.7,D
-12.76447,142.31873,347.3,0.49,0.4,2020-01-05,0348,N,nominal,1.0NRT,295,7.4,D
-12.76509,142.31419,341.2,0.49,0.4,2020-01-05,0348,N,nominal,1.0NRT,293.3,7.4,D
-12.19733,142.64015,332.6,0.47,0.39,2020-01-05,0348,N,nominal,1.0NRT,291.8,5.4,D
-12.14354,142.67685,335.2,0.46,0.39,2020-01-05,0348,N,low,1.0NRT,292.7,6.6,D
-12.14414,142.67259,339.9,0.46,0.39,2020-01-05,0348,N,nominal,1.0NRT,291.3,6.6,D
-12.1399,142.67635,343.7,0.46,0.39,2020-01-05,0348,N,nominal,1.0NRT,291.3,4.4,D
-12.13506,142.68434,335.1,0.46,0.39,2020-01-05,0348,N,low,1.0NRT,292.8,10.4,D
-12.13627,142.67583,330.7,0.46,0.39,2020-01-05,0348,N,low,1.0NRT,289.7,4.4,D
-12.13264,142.67529,331.4,0.46,0.39,2020-01-05,0348,N,low,1.0NRT,292.8,5.2,D
-12.13324,142.67102,344,0.46,0.39,2020-01-05,0348,N,low,1.0NRT,293.6,5.2,D
-12.12961,142.6705,333.7,0.46,0.39,2020-01-05,0348,N,low,1.0NRT,295,5.2,D
-12.13021,142.66626,339.6,0.46,0.39,2020-01-05,0348,N,low,1.0NRT,294.9,5.3,D
-12.13081,142.662,331.3,0.46,0.39,2020-01-05,0348,N,low,1.0NRT,291.7,5.3,D
-12.12658,142.66576,339,0.46,0.39,2020-01-05,0348,N,low,1.0NRT,294.9,5.2,D
-12.12839,142.65292,336.7,0.46,0.39,2020-01-05,0348,N,nominal,1.0NRT,290.7,5.4,D
-12.12234,142.66946,346.4,0.46,0.39,2020-01-05,0348,N,nominal,1.0NRT,295.1,16,D
-12.12294,142.66524,333.3,0.46,0.39,2020-01-05,0348,N,low,1.0NRT,292.8,5.2,D
-12.11811,142.67322,335.4,0.46,0.39,2020-01-05,0348,N,low,1.0NRT,294.9,11.4,D
-12.11385,142.65082,340.8,0.46,0.39,2020-01-05,0348,N,nominal,1.0NRT,294.2,4.8,D
-12.10243,142.70569,333.2,0.46,0.39,2020-01-05,0348,N,nominal,1.0NRT,293.9,4.8,D
-12.10901,142.65887,332.3,0.46,0.39,2020-01-05,0348,N,low,1.0NRT,294.4,6.9,D
-12.10961,142.65459,330.9,0.46,0.39,2020-01-05,0348,N,low,1.0NRT,294.3,4.8,D
-12.75137,136.34076,339,0.39,0.59,2020-01-05,0348,N,nominal,1.0NRT,288.3,9.4,D
-12.75179,136.33707,349.2,0.39,0.59,2020-01-05,0348,N,nominal,1.0NRT,288.8,4.4,D
-12.75221,136.33339,337.2,0.39,0.59,2020-01-05,0348,N,nominal,1.0NRT,288,4.4,D
-12.75659,136.34465,331,0.39,0.59,2020-01-05,0348,N,nominal,1.0NRT,287.4,4.5,D
-12.75152,136.34026,339.1,0.39,0.59,2020-01-05,0348,N,nominal,1.0NRT,288.8,10.9,D
-12.75196,136.33658,339.3,0.39,0.59,2020-01-05,0348,N,nominal,1.0NRT,288.6,5,D
-12.7524,136.33292,333.5,0.39,0.59,2020-01-05,0348,N,nominal,1.0NRT,287.9,5,D
-12.74644,136.33592,351.8,0.39,0.59,2020-01-05,0348,N,nominal,1.0NRT,286.7,5,D
-12.6748,136.65643,337.8,0.37,0.58,2020-01-05,0348,N,nominal,1.0NRT,287.4,2.7,D
-12.66938,136.65585,337.2,0.37,0.58,2020-01-05,0348,N,nominal,1.0NRT,287.1,4.7,D
-12.6698,136.65236,338.2,0.37,0.58,2020-01-05,0348,N,nominal,1.0NRT,287.7,4,D
-12.64692,136.66046,343.7,0.37,0.58,2020-01-05,0348,N,nominal,1.0NRT,286.6,3.4,D
-33.18243,150.16409,338.4,0.39,0.36,2020-01-05,0342,N,low,1.0NRT,311.3,6.5,D
-36.05067,136.70926,367,0.61,0.71,2020-01-05,0342,N,high,1.0NRT,296.3,33.9,D
-36.04391,136.70889,367,0.61,0.71,2020-01-05,0342,N,high,1.0NRT,303,33.9,D
-36.03716,136.70877,367,0.61,0.71,2020-01-05,0342,N,high,1.0NRT,304.7,28.9,D
-36.03172,136.9288,341.3,0.6,0.7,2020-01-05,0342,N,nominal,1.0NRT,298.1,23,D
-36.0245,136.94971,367,0.6,0.7,2020-01-05,0342,N,high,1.0NRT,305.1,67.7,D
-36.02486,136.93575,367,0.6,0.7,2020-01-05,0342,N,high,1.0NRT,300.9,44.1,D
-36.02502,136.92914,367,0.6,0.7,2020-01-05,0342,N,high,1.0NRT,304.1,23,D
-36.02467,136.94283,347.1,0.6,0.7,2020-01-05,0342,N,nominal,1.0NRT,300.6,44.1,D
-36.0252,136.92207,356.6,0.6,0.7,2020-01-05,0342,N,nominal,1.0NRT,292.1,23,D
-36.01763,136.957,367,0.6,0.7,2020-01-05,0342,N,high,1.0NRT,301,94.7,D
-36.01834,136.92912,367,0.6,0.7,2020-01-05,0342,N,high,1.0NRT,299.5,51.5,D
-36.01781,136.9501,356.5,0.6,0.7,2020-01-05,0342,N,nominal,1.0NRT,320.5,94.7,D
-36.01815,136.9362,340.8,0.6,0.7,2020-01-05,0342,N,nominal,1.0NRT,296.1,97.9,D
-36.01852,136.92184,338.8,0.6,0.7,2020-01-05,0342,N,nominal,1.0NRT,298.7,51.5,D
-36.0187,136.91466,342.7,0.6,0.71,2020-01-05,0342,N,nominal,1.0NRT,290.4,14.5,D
-36.01799,136.9431,208,0.6,0.7,2020-01-05,0342,N,low,1.0NRT,298.9,97.9,D
-36.01096,136.95667,347.6,0.6,0.7,2020-01-05,0342,N,nominal,1.0NRT,294.7,94.7,D
-36.04945,136.71558,351.3,0.61,0.71,2020-01-05,0342,N,nominal,1.0NRT,296.3,11.1,D
-36.04967,136.70792,354.7,0.61,0.71,2020-01-05,0342,N,nominal,1.0NRT,296.9,11.2,D
